Accession_STEPdb_2.0,Protein_ID_STEPdb_2.0,1ary_Gene_Name,STEPdb_Universal_Name,Uniprot_Protein_Name,STEPdb_Sub-cellular_Location_Full Name,STEPdb_Sub-cellular_Location_Letter Code,sub-cellular_topology_group,SRP_interactome_Schibich2016,TF_interactome_Oh2011,SecA_interactome_Huber2016,DnaK_client_Calloni2012,DnaK_client_Arifuzzaman2016,DnaK_client_Niwa2009,TF_client_Martinez2009,TF_client_Butland2005,TF_client_Arifuzzaman2006,TF_client_Niwa2009,GroEL_client_Kerner2005,GroEL_client_Arifuzzaman2006,GroEL_client_Chapman2006,GroEL_client_Niwa2009,SecB_client_Stepdb1.0,SecB_client_additional_data
P0DPC5,YTID_ECOLI,ytiD,"cytoplasmic protein, YtiD",Protein YtiD,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0DPC4,YTIC_ECOLI,ytiC,"cytoplasmic protein, YtiC",Protein YtiC,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0DN74,YTIA_ECOLI,ytiA,"cytoplasmic protein, YtiA",Uncharacterized protein YtiA,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
V9HVX0,YPAA_ECOLI,ypaA,"cytoplasmic protein, YpaA",Uncharacterized protein YpaA,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0DPC9,YNFQ_ECOLI,ynfQ,"cytoplasmic protein, YnfQ",Protein YnfQ,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0DPC8,YMCF_ECOLI,ymcF,"cytoplasmic protein, YmcF",Protein YmcF,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0DP22,YJIQ_ECOLI,yjiQ,"cytoplasmic protein, Putative inactive recombination-promoting nuclease-like YjiQ ",Putative inactive recombination-promoting nuclease-like protein YjiQ,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0DP63,YBEH_ECOLI,ybeH,"cytoplasmic protein, Putative YbeH",Putative protein YbeH,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0DPC7,RSED_ECOLI,rseD,"cytoplasmic protein, rpoE leader peptide RseD",rpoE leader peptide,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0DP69,PHNE1_ECOLI,phnE1,"integral IM protein (SEC in IM), Putative cryptic phosphonate transport system permease PhnE1 ",Putative cryptic phosphonate transport system permease protein PhnE1,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0DPD1,LDRC_ECOLI,ldrC,"integral IM protein (SEC in IM), Small toxic polypeptide LdrC",Small toxic polypeptide LdrC,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
U3PVA8,IROK_ECOLI,iroK,"cytoplasmic protein, IroK",Protein IroK (3-hydroxypropionic acid resistance peptide),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0DPC6,IDLP_ECOLI,idlP,"cytoplasmic protein, iraD leader peptide IdlP",iraD leader peptide,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0DM85,CRFC_ECOLI,crfC,"cytoplasmic protein, Clamp-binding CrfC",Clamp-binding protein CrfC (Clamp-binding sister replication fork colocalization protein),Cytoplasmic,A,Cytoplasmic,,YES,YES,,YES,,,,,,,,,,,
A5A605,YKFM_ECOLI,ykfM,"integral IM protein (SEC in IM), YkfM",Uncharacterized protein YkfM,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
A5A607,YLCI_ECOLI,ylcI,"cytoplasmic protein, YlcI",Uncharacterized protein YlcI,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
A5A611,YMGI_ECOLI,ymgI,"cytoplasmic protein, YmgI",Uncharacterized protein YmgI,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
A5A612,YMGJ_ECOLI,ymgJ,"periplasmic protein (SEC through IM), YmgJ",Uncharacterized protein YmgJ,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
A5A613,YCIY_ECOLI,yciY,"cytoplasmic protein, YciY",Uncharacterized protein YciY,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
A5A614,YCIZ_ECOLI,yciZ,"cytoplasmic protein, UPF0509 YciZ",UPF0509 protein YciZ,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
A5A615,YNCL_ECOLI,yncL,"integral IM protein (SEC in IM), YncL",Uncharacterized protein YncL,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
A5A616,YNEM_ECOLI,yneM,"integral IM protein (SEC in IM), Small MgtS ",Small protein MgtS,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
A5A617,YDGU_ECOLI,ydgU,"integral IM protein (SEC in IM), YdgU",Uncharacterized protein YdgU,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
A5A618,YNHF_ECOLI,ynhF,"integral IM protein (SEC in IM), YnhF",Uncharacterized protein YnhF,Integral Inner Membrane ,B,Integral Inner Membrane,NO,,,,,,,,,,,,,,,
A5A619,YOJO_ECOLI,yojO,"cytoplasmic protein, YojO",Uncharacterized protein YojO,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
A5A621,YPFM_ECOLI,ypfM,"cytoplasmic protein, YpfM",Uncharacterized protein YpfM,Cytoplasmic,A,Cytoplasmic,NO,,,,,,,,,,,,,,,
A5A624,DINQ_ECOLI,dinQ,"integral IM protein (SEC in IM), DinQ",Uncharacterized protein DinQ,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
A5A625,YIBV_ECOLI,yibV,"cytoplasmic protein, YibV",Protein YibV,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
A5A627,TISB_ECOLI,tisB,"integral IM protein (SEC in IM), Small toxin TisB",Small toxic protein TisB (LexA-regulated protein TisB),Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
A5A628,YJBT_ECOLI,yjbT,"periplasmic protein (SEC through IM), YjbT",Uncharacterized protein YjbT,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
A5A630,YTCA_ECOLI,ytcA,"integral IM protein (SEC in IM), YtcA",Uncharacterized protein YtcA,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
A8DYP9,LPFUR_ECOLI,uof,"cytoplasmic protein, fur leader peptide Uof",fur leader peptide,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
A8DYQ1,YTHA_ECOLI,ythA,"integral IM protein (SEC in IM), YthA",Uncharacterized protein YthA,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
C1P5Z7,SGRT_ECOLI,sgrT,"cytoplasmic peripheral IM protein, Putative inhibitor of glucose uptake transporter SgrT ",Putative inhibitor of glucose uptake transporter SgrT,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
C1P5Z8,YKGR_ECOLI,ykgR,"integral IM protein (SEC in IM), YkgR",Uncharacterized membrane protein YkgR,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
C1P5Z9,YMIB_ECOLI,ymiB,"integral IM protein (SEC in IM), Putative YmiB",Putative protein YmiB,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
C1P600,YNBG_ECOLI,ynbG,"cytoplasmic protein, YnbG",Uncharacterized protein YnbG,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
C1P601,RZOQ_ECOLI,rzoQ,"IM lipoprotein (SEC through IM), inserted in OM by LOL), Putative RzoQ",Putative lipoprotein RzoQ,Inner Membrane Lipoprotein,E,Secreted,,,,,,,,,,,,,,,,
C1P602,YOAK_ECOLI,yoaK,"integral IM protein (SEC-YidC in IM), YoaK",Uncharacterized membrane protein YoaK,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
C1P603,YOAJ_ECOLI,yoaJ,"integral IM protein (SEC-YidC in IM), YoaJ",Uncharacterized protein YoaJ,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
C1P604,YOBI_ECOLI,yobI,"cytoplasmic peripheral IM protein, YobI",Uncharacterized protein YobI,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
C1P605,AZUC_ECOLI,azuC,"cytoplasmic peripheral IM protein, AzuC",Uncharacterized protein AzuC,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
C1P606,YOEI_ECOLI,yoeI,"cytoplasmic protein, YoeI",Uncharacterized protein YoeI,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
C1P607,IBSA_ECOLI,ibsA,"cytoplasmic protein, Small toxin IbsA",Small toxic protein IbsA,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
C1P608,IBSB_ECOLI,ibsB,"cytoplasmic protein, Small toxin IbsB",Small toxic protein IbsB,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
C1P609,YOHP_ECOLI,yohP,"integral IM protein (SEC in IM), YohP",Uncharacterized membrane protein YohP,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
C1P610,YPDK_ECOLI,ypdK,"integral IM protein (SEC in IM), YpdK",Uncharacterized membrane protein YpdK,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
C1P611,SHOB_ECOLI,shoB,"integral IM protein (SEC in IM), Small toxin ShoB",Small toxic protein ShoB,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
C1P612,YQCG_ECOLI,yqcG,"cytoplasmic protein, YqcG",Uncharacterized protein YqcG,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
C1P613,YQEL_ECOLI,yqeL,"cytoplasmic protein, YqeL",Uncharacterized protein YqeL,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
C1P614,YQFG_ECOLI,yqfG,"integral IM protein (SEC in IM), YqfG",Uncharacterized protein YqfG,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
C1P615,IBSC_ECOLI,ibsC,"cytoplasmic protein, Small toxin IbsC",Small toxic protein IbsC,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
